StartTime: 2021-08-11 14:08:06.818
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 14:08:06.818	0.8896	-0.4688	-0.1152	7.7515	10.2539	-23.1934	-99.7888	-64.7919	121.7340	31.75
0x50	 14:08:06.818	0.8960	-0.4429	-0.0820	5.7983	10.7422	-25.8179	-99.6405	-65.0281	121.5857	31.75
0x50	 14:08:06.826	0.9063	-0.4111	-0.0679	6.5918	14.5264	-29.4800	-99.3823	-65.3247	121.3660	31.76
0x50	 14:08:06.836	0.9063	-0.4111	-0.0679	7.0190	16.7236	-32.4097	-99.0747	-65.6653	121.0968	31.74
0x50	 14:08:06.847	0.9111	-0.3843	-0.0303	7.0190	16.7236	-32.4097	-98.7561	-66.0059	120.8167	31.74
0x50	 14:08:06.856	0.9116	-0.3892	-0.0366	7.2632	18.0664	-33.2642	-98.3606	-66.3684	120.5035	31.74
0x50	 14:08:06.866	0.9155	-0.3799	-0.0542	5.4321	14.9536	-31.7993	-98.0420	-66.7090	120.2509	31.73
0x50	 14:08:06.876	0.9229	-0.3652	-0.0435	5.3711	12.2681	-31.0059	-97.8113	-67.0331	120.0531	31.74
0x50	 14:08:06.886	0.9331	-0.3521	-0.0137	6.1646	13.2446	-30.7007	-97.5311	-67.3682	119.8224	31.75
0x50	 14:08:06.896	0.9272	-0.3560	-0.0396	4.5776	13.7329	-28.9307	-97.2015	-67.6868	119.5697	31.75
0x50	 14:08:06.906	0.9272	-0.3652	-0.0244	-0.4272	11.5967	-25.4517	-96.9928	-67.9669	119.3500	31.74
0x50	 14:08:06.916	0.9233	-0.3755	-0.0776	-0.3662	12.2070	-24.1089	-96.7401	-68.2196	119.1028	31.74
0x50	 14:08:06.926	0.9302	-0.3633	-0.0674	-0.4883	12.3901	-25.0244	-96.5643	-68.4778	118.8501	31.73
0x50	 14:08:06.955	0.9331	-0.3555	-0.0581	-1.2207	16.9678	-26.1230	-96.2677	-68.7524	118.4766	31.74
0x50	 14:08:06.956	0.9409	-0.3706	-0.0698	-4.2725	20.2026	-25.8789	-95.8997	-69.0271	117.9987	31.74
0x50	 14:08:06.956	0.9331	-0.3716	-0.0811	-6.0425	21.5454	-26.0620	-95.5261	-69.2963	117.4768	31.74
0x50	 14:08:06.966	0.9365	-0.3613	-0.0195	-10.1318	25.9399	-27.8931	-95.0867	-69.5819	116.8176	31.75
0x50	 14:08:06.976	0.9268	-0.3618	-0.0151	-11.6577	31.6772	-29.2969	-94.4110	-69.8950	115.9882	31.73
0x50	 14:08:06.986	0.9336	-0.3535	-0.0117	-16.6016	30.8838	-28.8086	-93.7848	-70.1917	115.1587	31.73
0x50	 14:08:06.996	0.9517	-0.3154	-0.0293	-17.1509	29.1138	-28.9917	-93.1860	-70.4883	114.3567	31.74
0x50	 14:08:07.006	0.9580	-0.3115	0.0210	-16.5405	27.7710	-29.5410	-92.6422	-70.8069	113.5767	31.74
0x50	 14:08:07.016	0.9521	-0.3057	-0.0098	-15.5640	28.5034	-28.5645	-91.9611	-71.1145	112.7527	31.73
